concept,bet_old,bet_new,bet_change,deg_old,deg_new,old_provisions,new_provisions,status
recovery,0.0,0.004,0.004,0.0,0.036,0,4,gained
disqualification,0.0,0.0041,0.0041,0.0,0.0194,0,3,gained
state government,0.0,0.0041,0.0041,0.0,0.0249,0,4,gained
payment,0.0,0.0042,0.0042,0.0,0.0319,0,4,gained
vacancy,0.0,0.0043,0.0043,0.0,0.0235,0,3,gained
educational schemes,0.0,0.0043,0.0043,0.0,0.0291,0,2,gained
regulation,0.0001,0.0045,0.0044,0.0123,0.0139,1,3,gained
industrial disputes,0.0007,0.0052,0.0045,0.0154,0.0208,2,4,gained
interest,0.0,0.0046,0.0046,0.0,0.0388,0,6,gained
death,0.0,0.0047,0.0047,0.0,0.0319,0,4,gained
administration,0.0,0.0048,0.0048,0.0093,0.0319,1,4,gained
platform workers,0.0,0.0048,0.0048,0.0,0.0346,0,4,gained
gig workers,0.0,0.0048,0.0048,0.0,0.0346,0,4,gained
liability,0.0191,0.0241,0.005,0.0494,0.0485,2,8,gained
apprentice,0.0,0.0052,0.0052,0.0,0.0235,0,2,gained
difficulty,0.0,0.0057,0.0057,0.0062,0.0097,1,3,gained
minimum wage,0.0129,0.0188,0.0059,0.0833,0.0582,22,19,gained
national industrial tribunal,0.0,0.0061,0.0061,0.0,0.0208,0,6,gained
contractor,0.001,0.0071,0.0061,0.0216,0.0374,2,4,gained
authorisation,0.0,0.0064,0.0064,0.0,0.0305,0,4,gained
pension,0.0,0.0065,0.0065,0.0,0.0222,0,4,gained
dispute resolution,0.0001,0.0067,0.0066,0.0185,0.0249,1,3,gained
prosecution,0.0,0.0072,0.0072,0.0,0.0388,0,6,gained
insurance,0.0,0.0075,0.0075,0.0,0.036,0,6,gained
inquiry,0.0014,0.0092,0.0078,0.034,0.0443,3,6,gained
court,0.0,0.008,0.008,0.0247,0.0249,1,3,gained
working hours,0.0133,0.0215,0.0082,0.0988,0.1025,19,36,gained
insured person,0.0,0.0083,0.0083,0.0,0.0471,0,4,gained
scheme,0.0,0.0088,0.0088,0.0,0.036,0,6,gained
jurisdiction,0.0059,0.0148,0.0089,0.0062,0.0582,2,8,gained
contributions,0.0,0.0099,0.0099,0.0,0.0277,0,4,gained
accident,0.0,0.0101,0.0101,0.0,0.072,0,14,gained
leave,0.0,0.0102,0.0102,0.0216,0.09,2,27,gained
occupational hazard,0.0064,0.0166,0.0102,0.0185,0.1163,5,78,gained
expenditure,0.0,0.0106,0.0106,0.0,0.0208,0,4,gained
migrant worker,0.0,0.0121,0.0121,0.0,0.0706,0,11,gained
fixed term employment,0.0009,0.0136,0.0127,0.0123,0.0679,1,6,gained
benefit,0.0,0.0132,0.0132,0.0,0.0554,0,5,gained
accounting year,0.0,0.0133,0.0133,0.0,0.0319,0,5,gained
corporation,0.0,0.0135,0.0135,0.0123,0.0485,1,5,gained
regulations,0.0,0.0137,0.0137,0.0,0.0665,0,8,gained
welfare,0.0,0.0138,0.0138,0.0,0.0582,0,10,gained
registration,0.0235,0.0374,0.0139,0.0586,0.108,9,22,gained
commencement,0.0003,0.0146,0.0143,0.0278,0.0263,1,5,gained
social security organisation,0.0,0.0163,0.0163,0.0,0.0346,0,5,gained
worker,0.0156,0.032,0.0164,0.0463,0.1399,4,42,gained
maternity benefit,0.0,0.0169,0.0169,0.0,0.0845,0,15,gained
trade union,0.0561,0.0759,0.0198,0.1543,0.1316,24,42,gained
competent authority,0.0003,0.0211,0.0208,0.0278,0.0693,1,12,gained
appointment,0.0025,0.0235,0.021,0.0154,0.072,2,9,gained
bonus,0.0,0.0227,0.0227,0.0,0.0706,0,19,gained
compensation,0.0144,0.0383,0.0239,0.0741,0.1343,6,28,gained
gratuity,0.0,0.0264,0.0264,0.0,0.1108,0,16,gained
cess,0.0,0.0289,0.0289,0.0,0.0803,0,10,gained
contribution,0.0,0.0348,0.0348,0.0,0.1053,0,15,gained
establishment,0.0019,0.0383,0.0364,0.0463,0.072,4,14,gained
employee,0.0,0.0394,0.0394,0.0247,0.1219,1,19,gained
benefits,0.0008,0.0476,0.0468,0.0247,0.1122,2,14,gained
social security,0.0,0.0487,0.0487,0.0,0.09,0,12,gained
health and safety,0.02,0.0719,0.0519,0.0802,0.1994,15,106,gained
provident fund,0.0057,0.0762,0.0705,0.034,0.1579,1,40,gained
notification,0.0015,0.0797,0.0782,0.037,0.1634,2,27,gained
